paperID,title_pdftitle,title_pypdf2
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset2/IWCMC/IWCMC2009/p820-shi.pdf,"Energy Efficient Reuse Set Formulation with End-to-End Packet Loss Constraint in TDMA Based Wireless Sensor Networks
",Energy efficient reuse set formulation with end-to-end packet loss constraint in TDMA based wireless sensor networks
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset2/IWCMC/IWCMC2009/p1316-xu.pdf,"Issues on the design of vehicular node positioning based on doppler-shifted frequency measurement on highway
",Issues on the design of vehicular node positioning based on Doppler-shifted frequency measurement on highway
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset2/IWCMC/IWCMC2009/p37-toscani.pdf,"Dynamic Update of Data Analysis Models in Emergency Systems
",Dynamic update of data analysis models in emergency systems
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset2/IWCMC/IWCMC2009/p698-kuo.pdf,"Fuzzy-Based Cross-Layer Transmission Scheme with QoS Considerations for Wireless Mesh Networks
",Fuzzy-based cross-layer transmission scheme with QoS considerations for wireless mesh networks
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset2/IWCMC/IWCMC2009/p472-buhagiar.pdf,"Exploiting Traffic Sampling Techniques for Mobile Peer Networking
",Exploiting traffic sampling techniques for mobile peer networking
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset2/IWCMC/IWCMC2009/p567-wong.pdf,"Switching Cost Minimization in the IEEE 802.16e Mobile WiMAX Sleep Mode Operation
",Switching cost minimization in the IEEE 802.16e mobile WiMAX sleep mode operation
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset2/IWCMC/IWCMC2009/p477-wang.pdf,,Distributed routing schemes for multi-hop fixed relay networks
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset2/IWCMC/IWCMC2009/p1223-kontorovich.pdf,"Performance Analysis of OSTBC over Generalized Gaussian MIMO Channels
",Performance analysis of OSTBC over generalized Gaussian MIMO channels
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset2/IWCMC/IWCMC2009/p1126-li.pdf,,High performance frequency division MC-CDMA system via carrier interferometry codes
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset2/IWCMC/IWCMC2009/p655-abbasi.pdf,"C
",C<sup>2</sup>AM: an algorithm for application-aware movement-assisted recovery in wireless sensor and actor networks
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset2/IWCMC/IWCMC2009/p338-guo.pdf,"Distributed Routing Algorithm for Low-latency Broadcasting in Multi-rate Wireless Mesh Network
",Distributed routing algorithm for low-latency broadcasting in multi-rate wireless mesh network
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset2/IWCMC/IWCMC2009/p1449-chang.pdf,,Fundamental theories on new pattern exclusive coding
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset2/IWCMC/IWCMC2009/p1454-strauss.pdf,"Game Theoretic Power Allocation in Sparsely Distributed Clusters of Wireless Sensors (GPAS)
",Game theoretic power allocation in sparsely distributed clusters of wireless sensors (GPAS)
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset2/IWCMC/IWCMC2009/p143-zhuang.pdf,"Hybrid Gateway Discovery Mechanism in Mobile Ad Hoc for Internet Connectivity
",Hybrid gateway discovery mechanism in mobile ad hoc for internet connectivity
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset2/IWCMC/IWCMC2009/p1040-orani.pdf,"A cognitive radio system for home theatre “5+1 audio” surround applications
","A cognitive radio system for home theatre ""5+1 audio"" surround applications"
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset2/IWCMC/IWCMC2009/p1233-nguyen.pdf,,Power allocation and distributed beamforming optimization in relay-assisted multiuser communications
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset2/IWCMC/IWCMC2009/p1131-liru.pdf,,Generic construction of orthogonal complementary sets of sequences
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset2/IWCMC/IWCMC2009/p712-sallabi.pdf,"Downlink Call Admission Control Algorithm with Look-Ahead Calls for 3GPP
",Downlink call admission control algorithm with look-ahead calls for 3GPP LTE mobile networks
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset2/IWCMC/IWCMC2009/p324-ozturk.pdf,"Multi-Scale Direct Sequence Ultra Wide Band Communications
",Multi-scale direct sequence ultra wide band communications
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset2/IWCMC/IWCMC2009/p1310-brahmi.pdf,"Adaptative Movement Aware Routing for Vehicular Ad Hoc Networks
",Adaptative movement aware routing for vehicular ad hoc networks
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset2/GROUP/GROUP2009/p381-li.pdf,"Towards a Better Understanding of Group Forking Dynamics in Virtual Contexts
",Microsoft Word - dc906d-li.doc
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset2/GROUP/GROUP2009/p375-gonzales.pdf,"Validation of an Inventory of Social Connectedness
",Microsoft Word - dc903e-gonzales.doc
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset2/GROUP/GROUP2009/p321-granlien.pdf,"Implementing New Ways of Working: Interventions and their Effect on the Use of an Electronic Medication Record
",Implementing new ways of working: interventions and their effect on the use of an electronic medication record
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset2/GROUP/GROUP2009/p389-thomsantelli.pdf,"Expressing Territoriality in Collaborative Activity
",Microsoft Word - dc910c-thomsantelli1.doc
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset2/GROUP/GROUP2009/p233-du.pdf,"“I Felt Like a Contributing Member of the Class”: Increasing Class Participation with ClassCommons
",Microsoft Word - fp181-du.doc
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset2/GROUP/GROUP2009/p243-zhao.pdf,"How and Why People Twitter: The Role that Micro-blogging Plays in Informal Communication at Work
",Microsoft Word - fp121-zhao.doc
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset2/GROUP/GROUP2009/p277-reshef.pdf,"Collaborative Feed Reading in a Community
",Microsoft Word - fp143n-aizenbud.doc
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset2/GROUP/GROUP2009/p301-sarcevic.pdf,"Information Handover in Time-Critical Work
",Microsoft Word - fp112-sarcevic.doc
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset2/GROUP/GROUP2009/p341-toups.pdf,"Emergent Team Coordination: From Fire Emergency Response Practice to a Non-Mimetic Simulation Game
",group2009-tteclog-final-3-5
