paperID,title_pdftitle,title_pypdf2
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SAC/SAC2008/p1492-gruian.pdf,"VHDL vs. Bluespec System Verilog: A case study on a Java embedded architecture
",VHDL vs. Bluespec System Verilog: A Case Study on a Java Embedded Architecture
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SAC/SAC2008/p590-mevius.pdf,"A Novel Modeling Language for Tool-based Business Process Engineering
",A Novel Modeling Language for Tool-Based Business Process Engineering
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SAC/SAC2008/p1390-de_oliveira.pdf,"Brain Registration and Subtraction - Improved Localization for SPECT Analysis (B.R.A.S.I.L.): A computer-aided diagnosis in epilepsy tool kit.
",Brain Registration and Subtraction – Improved Localization for SPECT Analysis (B.R.A.S.I.L.): A Computer-Aided Diagnosis in Epilepsy Tool Kit
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SAC/SAC2008/p1720-chen.pdf,"Expected Energy Consumption Minimization in DVS Systems with Discrete Frequencies
",Expected Energy Consumption Minimization in DVS Systems with Discrete Frequencies
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SAC/SAC2008/p2174-rosa.pdf,"Modelling Adaptive Services for Distributed Systems
",Modelling Adaptive Services for Distributed Systems
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SAC/SAC2008/p748-qian.pdf,"Scenario Oriented Program Slicing
",Scenario Oriented Program Slicing
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SAC/SAC2008/p278-camilleri.pdf,"Securing Aspect Composition
",Securing Aspect Composition
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SAC/SAC2008/p294-fahmy.pdf,"Scheduling Distributable Real-Time Threads in the Presence of Crash Failures and Message Losses
",Scheduling Distributable Real-Time Threads in the Presence of Crash Failures and Message Losses
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SAC/SAC2008/p1042-roser.pdf,"MDSD light for ERP
",MDSD Light for ERP
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SAC/SAC2008/p658-liu.pdf,"A Requirements Reﬁnement Framework
",A Requirements Refinement Framework
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SAC/SAC2008/p1554-giorgi.pdf,"Filtering drowsy instruction cache to achieve better efficiency
",Filtering Drowsy Instruction Cache to Achieve Better Efficiency
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SAC/SAC2008/p1728-djelloul.pdf,"Combination of Decomposability and Propagation for Solving First-Order Constraints in Decomposable Theories
",Combination of Decomposability and Propagation for Solving First-Order Constraints in Decomposable Theories
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SAC/SAC2008/p707-petrillo.pdf,"Houston, we have a problem...: A Survey of Actual Problems in Computer Games Development
","Houston, we have a problem...: A Survey of Actual Problems in Computer Games Development"
