paperID,title_pdftitle,title_pypdf2
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/VTDC/VTDC2009/p9-konstantinou.pdf,"An Architecture for Virtual Solution Composition and Deployment in Infrastructure Clouds
",An architecture for virtual solution composition and deployment in infrastructure clouds
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/VTDC/VTDC2009/p51-hacking.pdf,"Improving the Live Migration
",Improving the live migration process of large enterprise applications
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/VTDC/VTDC2009/p43-tanaka.pdf,"Investigating Suitability for Server Virtualization using Business Application Benchmarks
",Investigating suitability for server virtualization using business application benchmarks
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/VTDC/VTDC2009/p27-kertesz.pdf,"An SLA-based Resource Virtualization Approach For On-demand Service Provision
",An SLA-based resource virtualization approach for on-demand service provision
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/VTDC/VTDC2009/p59-nocentino.pdf,"Toward Dependency-Aware Live Virtual Machine Migration
",Toward dependency-aware live virtual machine migration
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/VTDC/VTDC2009/p67-hirofuchi.pdf,"A Live Storage Migration Mechanism over WAN and its Performance Evaluation
",A live storage migration mechanism over wan and its performance evaluation
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/VTDC/VTDC2009/p35-martinez.pdf,"Experimental Study of Large-scale Computing on Virtualized Resources
",Experimental study of large-scale computing on virtualized resources
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/VTDC/VTDC2007/a5-zhao.pdf,,Experimental Study of Virtual Machine Migration in Support of Reservation of Cluster Resources
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/VTDC/VTDC2007/a2-hines.pdf,,
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/VTDC/VTDC2007/a1-raj.pdf,"Enabling Semantic Communications for Virtual Machines via iConnect
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/VTDC/VTDC2007/a3-chen.pdf,,Microsoft Word - VTDC_Camera-ready1.1.doc
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/VTDC/VTDC2007/a7-ruda.pdf,"Scheduling Virtual Grids: the Magrathea System
",a1-ruda.pdf
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/VTDC/VTDC2007/a6-yamasaki.pdf,,Model-Based Resource Selection for Efficient Virtual Cluster Deployment
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/VTDC/VTDC2007/a8-harney.pdf,,Microsoft Word - ericVTDC-acmformatRESUBMITTED.doc
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/VTDC/VTDC2007/a4-kangarlou.pdf,"Taking Snapshots of Virtual Networked Environments
",Kangarlou-vtdc07.dvi
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/VTDC/VTDC2007/a9-qian.pdf,,
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/VTDC/VTDC2006/28730008.pdf,"On the Design of Virtual Machine Sandboxes for Distributed Computing in Wide-area Overlays of Virtual Workstations
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/VTDC/VTDC2006/28730009.pdf,"A Feasibility Study of a Virtual Storage System for Large Organizations
",Author Guidelines for 8
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/VTDC/VTDC2006/28730007.pdf,,
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/VTDC/VTDC2006/28730013.pdf,,plfederationxen.dvi
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/VTDC/VTDC2006/28730012.pdf,"Experiences with a Grid Gateway Architecture Using Virtual Machines
",untitled
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/VTDC/VTDC2006/28730006.pdf,"Towards Scheduling Virtual Machines Based On Direct User Input
",paper.dvi
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/VTDC/VTDC2006/28730010.pdf,"Modeling Data Centers as Economic Markets for Dynamic Service Provisioning and Resource Management
",Microsoft Word - VTDC-Paper[4].doc
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/VTDC/VTDC2006/28730004.pdf,"Xen and the Art of Cluster Scheduling
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/VTDC/VTDC2006/28730005.pdf,"Overhead Matters:A Model for Virtual Resource Management
",Author Guidelines for 8
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/VTDC/VTDC2006/28730011.pdf,,
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/VTDC/VTDC2006/28730001.pdf,,MainPaper.dvi
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/VTDC/VTDC2006/28730002.pdf,"Characterization of network processing overheads in Xen
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/VTDC/VTDC2006/28730003.pdf,"A Virtual Machine Migration System Based on a CPU Emulator
",
