paperID,title_pdftitle,title_pypdf2
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGITE/SIGITE2007/p225-malik.pdf,"Laboratory Modules for Conducting Comparative Analysis of 802.11 Frames
",Microsoft Word - fp016-malik.doc
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGITE/SIGITE2007/p245-rigby.pdf,"Preparing IAS Graduates to Recognize and Manage Complexity
",Microsoft Word - fp117-rigby32.doc
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGITE/SIGITE2007/p271-yuan.pdf,"Building a CISCO-Feel Linux Router to Enable Students Learn and Configure Dynamic Routing Protocols
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGITE/SIGITE2007/p147-purdum.pdf,"Class Size and Its Impact on Information Technology Instruction
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGITE/SIGITE2007/p201-mcmahon.pdf,"An Examination of Information Technology Related Users Groups
",Microsoft Word - fp044-mcmahon1.doc
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGITE/SIGITE2007/p185-courte.pdf,"Comparing Student Acceptance and Performance of Online Activities to Classroom Activities
",Microsoft Word - fp077-courte1.doc
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGITE/SIGITE2007/p49-cold.pdf,"Literature Review and Experience with Whole Classroom Peer Tutoring for IT Students
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGITE/SIGITE2007/p135-cha.pdf,"Using Puzzles: Problem-Solving and Abstraction
",Microsoft Word - fp0127_cha.doc
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p763.pdf,,Localization.dvi
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p777.pdf,"On Performance of Topical Opinion Retrieval
",pp132-amati.pdf
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p10.pdf,"Person Name Disambiguation by Bootstrapping
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p603.pdf,"Extending Average Precision to Graded Relevance Judgments
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p170.pdf,"Optimal Meta Search Results Clustering
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p825.pdf,"Late Fusion of Compact Composite Descriptors for Retrieval from Heterogeneous Image Databases
",J:/Documents and Settings/S. Chatzichristofis/Desktop/SIGIR10_fusion_camera/SIGIR10_fusion_camera/pp207-chatzichristofis.dvi
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p831.pdf,"A Ranking Approach to Target Detection for Automatic Link Generation
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p819.pdf,"Ontology-enriched Multi-Document Summarization in Disaster Management
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p789.pdf,"Crowdsourcing a Wikipedia Vandalism Corpus
",sigir10-vandalism-corpus-frame.dvi
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p210.pdf,"Temporal Diversity in Recommender Systems
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p827.pdf,,Microsoft Word - pp210-conde.docx
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p833.pdf,"Probabilistic Latent Maximal Marginal Relevance
",pp213-guo.dvi
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p371.pdf,"A Comparison of General vs Personalised Affective Models for the Prediction of Topical Relevance
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p403.pdf,"Proximity-Based Opinion Retrieval
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p563.pdf,"Estimating Advertisability of Tail Queries for Sponsored Search
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p749.pdf,"Intent Boundary Detection in Search Query Logs
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p761.pdf,"Comparing Click-through Data to Purchase Decisions for Retrieval Evaluation
",Comparing Click-through Data to Purchase Decisions for Retrieval Evaluation
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p775.pdf,"Search System Requirements of Patent Analysts
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p759.pdf,,Unsupervised Estimation of Dirichlet Smoothing Parameters
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p771.pdf,"Contextual Video Advertising System Using Scene Information Inferred from Video Scripts
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p765.pdf,,
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p611.pdf,"PRES: A Score Metric for Evaluating Recall-Oriented Information Retrieval Applications
",Microsoft Word - fp805-magdy1.doc
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p162.pdf,"Learning to Rank Only Using Training Data from Related Domain
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p837.pdf,"multi Searcher: Can We Support People to Get Information from Text They Can’t Read or Understand?
",pp0216-Ahmed.dvi
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p823.pdf,"A Stack Decoder Approach to Approximate String Matching
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p799.pdf,"Clicked Phrase Document Expansion for Sponsored Search Ad Retrieval
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p202.pdf,"A Network-Based Model for High-Dimensional Information Filtering
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p835.pdf,"Using Local Precision to Compare Search Engines in Consumer Health Information Retrieval
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p821.pdf,"Multi-view Clustering of Multilingual Documents
",pp202-kim.dvi
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p809.pdf,,
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p363.pdf,"Interactive Retrieval Based on Faceted Feedback
",D:/irkmpaper/lanbo/sigir10/sigir10.dvi
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p411.pdf,"Evaluating and Predicting Answer Quality in Community QA
",Microsoft Word - fp784-shah.doc
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p571.pdf,"Exploring Reductions for Long Web Queries
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p773.pdf,"Cross-Language Retrieval Using Link-Based Language Models
",pp125-roth.dvi
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p767.pdf,"Evaluating Whole-Page Relevance
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p700.pdf,"Exploring Desktop Resources Based on User Activity Analysis
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p98.pdf,"A Joint Probabilistic Classiﬁcation Model for Resource Selection
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p853.pdf,"Metrics for Assessing Sets of Subtopics
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p847.pdf,"Query Log Analysis in the Context of Information Retrievalfor Children
",pp236-duarte.dvi
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p106.pdf,"Temporal Click Model for Sponsored Search
",fp155-xu.dvi
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p885.pdf,,pp303-woo.dvi
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p891.pdf,"Visual Concept-based Selection of Query Expansions for Spoken Content Retrieval
",Microsoft Word - pp317-rudinac.doc
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p675.pdf,"Efﬁcient Partial-Duplicate Detection Based on Sequence Matching
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p339.pdf,"Finding Support Sentences for Entities
",ks.eps
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p259.pdf,"Using Statistical Decision Theory and Relevance Models for Query-Performance Prediction
",predictRisk.dvi
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p66.pdf,"Relevance and Ranking in Online Dating Systems
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p729.pdf,,
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p715.pdf,"Effective Query Expansion with the Resistance Distance Based Term Similarity Metric
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p701.pdf,"A Data-Parallel Toolkit for Information Retrieval
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p918.pdf,"Finding People and their Utterances in Social Media
",Finding People and their Utterances in Social Media
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p924.pdf,"Aiming for User Experience in Information Retrieval
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p717.pdf,"AMethod to Automatically Construct a User Knowledge Model in a Forum Environment
",Microsoft Word - pp019-kardan
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p703.pdf,"Automatic Content Linking: Speech-based Just-in-time Retrieval for Multimedia Archives
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p515.pdf,"Query Similarity by Projecting the Query-Flow Graph
",paper.dvi
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset4/SIGIR/SIGIR2010/p58.pdf,"Acquisition of Instance Attributes via Labeled and Related Instances
",
